,aid,sid,pred,ga_surface_r,ni_surface_r,wo_surface_r,ga_type_r,ni_type_r,wo_type_r,keyaki_sbj,keyaki_ob1,keyaki_ob2,takeno1_sbj,takeno1_ob1,takeno1_ob2,takeno2_sbj,takeno2_ob1,takeno2_ob2,ga_surface_s,wo_surface_s,ni_surface_s,ga_type_s,wo_type_s,ni_type_s
0,950101003,1,会見し,村山富市首相,,,INTRA_Z,NONE,NONE,*PRO*,,内閣記者会,*PRO*,,内閣記者会,*PRO*,,内閣記者会,首相,,,DIRECT,,
1,950101003,1,及ぼす,離党問題,政権,影響,INTRA_Z,DIRECT,DIRECT,*PRO*,影響,政権,*pro*,影響,政権,*pro*,影響,,首相,,政権,INTRA_Z,,DIRECT
2,950101003,1,い,離党者,,,INTRA_Z,NONE,NONE,離党者,,,離党者,,,離党者,,,者,,,DIRECT,,
3,950101003,1,とどまる,離党問題,範囲,,INTRA_Z,DIRECT,NONE,*pro*,,範囲,,,範囲,,,範囲,首相,,範囲,INTRA_Z,,DIRECT
4,950101003,1,思う,村山富市首相,,,INTRA_Z,NONE,NONE,*pro*,,,*pro*,,,*pro*,,,首相,,,INTRA_Z,,
5,950101003,1,述べ,村山富市首相,,,INTRA_Z,NONE,NONE,*PRO*,,,*PRO*,,,*PRO*,,,,,,,,
6,950101003,1,至ら,離党問題,大量離党,,INTRA_Z,INTRA_Z,NONE,*pro*,,,離党,,,大量離党,,,首相,,離党,INTRA_Z,,DIRECT
7,950101003,1,示し,村山富市首相,,見通し,DIRECT,NONE,DIRECT,村山富市首相,見通し,,村山富市首相,見通し,,村山富市首相,見通し,首相官邸,首相,,,INTRA_Z,,
8,950101003,2,否定的,見解,,,INTRA_Z,NONE,NONE,*T*,,可能性,*T*,,可能性,,,,,,,,,
9,950101003,2,表明,村山富市首相,,見解,INTER_Z,NONE,DIRECT,*PRO*,見解,,*PRO*,見解,,,,,首相,,,INTER_Z,,
10,950101003,2,否定し,村山富市首相,,内閣,INTER_Z,NONE,DIRECT,*pro*,内閣改造,,*pro*,内閣改造,,,内閣改造,可能性,,,,,,
11,950101004,1,進攻し,ロシア,首都グロズヌイ,,INTRA_Z,DIRECT,NONE,*T*,,首都グロズヌイ,*T*,,首都グロズヌイ,*T*,,首都グロズヌイ,チェチェン共和国,,グロズヌイ,INTRA_Z,,DIRECT
12,950101004,1,攻撃,ロシア,,首都,DIRECT,NONE,DIRECT,ロシア軍,首都中心部,装甲車,ロシア軍,首都中心部,装甲車,*PRO*,首都中心部,装甲車,軍,,,DIRECT,,
13,950101004,1,炎上し,数カ所,,,INTRA_Z,NONE,NONE,カ所,,,カ所,,,カ所,,,数カ所,,,DIRECT,,
14,950101004,2,入っ,首都,最終段階,,INTRA_Z,INTRA_Z,NONE,ロシア側,,最終段階,ロシア側,,最終段階,ロシア側,,最終段階,ロシア,,段階,DIRECT,,DIRECT
15,950101004,2,み,exog,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
16,950101004,3,激しい,砲撃,,,INTRA_Z,NONE,NONE,,,,,,,,,,軍,,,INTRA_Z,,
17,950101004,3,加え,ロシア,,砲撃,INTRA_Z,NONE,INTRA_Z,ロシア軍,砲撃,,ロシア軍,砲撃,,*pro*,砲撃,,軍,,,INTRA_Z,,
18,950101004,3,進出,装甲車部隊,大統領官邸,,DIRECT,INTRA_Z,NONE,装甲車部隊,,大統領官邸付近,装甲車部隊,,大統領官邸付近,,,,部隊,,付近,DIRECT,,DIRECT
19,950101004,4,激しい,市街戦,,,INTRA_Z,NONE,NONE,,,,,,,,,,ロシア,,,INTER_Z,,
20,950101004,4,展開し,ロシア,,市街戦,INTER_Z,NONE,INTRA_Z,*pro*,市街戦,ドゥダエフ政権部隊,*pro*,市街戦,ドゥダエフ政権部隊,*pro*,市街戦,同官邸前,,,部隊,,,DIRECT
21,950101004,5,通じ,首都防衛司令官,,テレビ,INTRA_Z,NONE,DIRECT,*PRO*,テレビ,,*PRO*,テレビ,,*PRO*,テレビ,,官,,,INTRA_Z,,
22,950101004,5,いっ,首都,,,INTRA_Z,NONE,NONE,首都防衛,,,首都防衛,,,首都防衛,,,官,,,INTRA_Z,,
23,950101004,5,破壊し,ドゥダエフ,,戦車五十両,INTER_Z,NONE,INTRA_Z,*pro*,両,,*pro*,両,,*pro*,両,,官,,,INTRA_Z,,
24,950101004,5,発表,首都防衛司令官,,,DIRECT,NONE,NONE,首都防衛司令官,,,首都防衛司令官,,,,,,官,,,DIRECT,,
25,950101004,6,避難し,ドゥダエフ大統領,防空ごう,,INTRA_Z,INTRA_Z,NONE,*PRO*,,防空ごう,*PRO*,,防空ごう,*PRO*,,防空ごう,大統領,,防空ごう,DIRECT,,DIRECT
26,950101004,6,無事,ドゥダエフ大統領,,,DIRECT,NONE,NONE,ドゥダエフ大統領,,,ドゥダエフ大統領,,,,,,,,,,,
27,950101004,7,提案し,ドゥダエフ大統領,エリツィン・,正月,DIRECT,INTRA_Z,DIRECT,ドゥダエフ大統領,正月休戦,ロシア大統領,ドゥダエフ大統領,正月休戦,ロシア大統領,*PRO*,正月休戦,エリツィン・ロシア大統領,大統領,,大統領,DIRECT,,DIRECT
28,950101004,7,黙殺し,ロシア,,これ,DIRECT,NONE,DIRECT,ロシア側,,,ロシア側,,,ロシア側,,,大統領,,,INTRA_Z,,
29,950101008,1,通り,要旨,,,DIRECT,NONE,NONE,,,,,,,,,,要旨,,,DIRECT,,
30,950101008,2,大き,課題,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
31,950101008,2,ある,課題,,,DIRECT,NONE,NONE,課題,,,課題,,,課題,,,課題,,,DIRECT,,
32,950101008,3,臨ま,村山富市首相,アジア・太平洋経済協力会議,,INTER_Z,INTRA_Z,NONE,*pro*,,アジア・太平洋経済協力会議,今秋,,アジア・太平洋経済協力会議,今秋,,アジア・太平洋経済協力会議,,,会議,,,DIRECT
33,950101008,4,緊迫し,課題,,,INTRA_Z,NONE,NONE,*T*,,,*T*,,,*T*,,,,,,,,
34,950101008,4,重大,課題,,,INTRA_Z,NONE,NONE,,,,,,,,,,空白,,,INTRA_Z,,
35,950101008,4,抱え,exog,,課題,INTER_Z,NONE,INTRA_Z,*PRO*,課題,,*PRO*,課題,,*PRO*,課題,,空白,,,INTRA_Z,,
36,950101008,4,許さ,exog,,空白,INTER_Z,NONE,DIRECT,,空白,時,,空白,時,空白,,時,,,,,,
37,950101008,5,取り戻し,経済,,明るさ,DIRECT,NONE,DIRECT,経済,明るさ,,,明るさ,,*T*,明るさ,,,,,,,
38,950101008,5,微妙,段階,,,INTRA_Z,NONE,NONE,,,,,,,,,,経済,,,INTRA_Z,,
39,950101008,5,段階,経済,,,INTRA_Z,NONE,NONE,,,,,,,,,,経済,,,INTRA_Z,,
40,950101008,5,ない,今,,,DIRECT,NONE,NONE,,,,,,,,,,経済,,,INTRA_Z,,
41,950101008,5,考え,村山富市首相,,,INTER_Z,NONE,NONE,*pro*,,,*pro*,,,,,,,,,,,
42,950101008,6,よろしく,保守二党論,,,INTRA_Z,NONE,NONE,党論,,,党論,,,,,,,,,,,
43,950101008,6,立っ,政党,側,,INTRA_Z,INTRA_Z,NONE,*T*,,側,*T*,,側,*T*,,側,政党,,側,INTRA_Z,,DIRECT
44,950101008,6,担う,政党,,民主主義,INTRA_Z,NONE,DIRECT,*T*,民主主義,,*T*,民主主義,,*T*,民主主義,,,,,,,
45,950101008,6,必要,政党,,,DIRECT,NONE,NONE,政党,,,政党,,,政党,,,政党,,,DIRECT,,
46,950101008,7,一致し,方,新党,,INTRA_Z,INTRA_Z,NONE,方,,,方,,,方,,,方,,衣替え,DIRECT,,DIRECT
47,950101008,8,目指し,社会党,,方向,INTER_Z,NONE,INTRA_Z,*PRO*,方向,,*PRO*,方向,,*PRO*,方向,,,,,,,
48,950101008,8,努力し,社会党,,,INTER_Z,NONE,NONE,*pro*,,,*pro*,,,*pro*,,,,,,,,
49,950101008,9,ある,違い,,,DIRECT,NONE,NONE,違い,,,違い,,,違い,,,違い,,,DIRECT,,
50,950101008,10,担っ,社会党,,首班,INTRA_Z,NONE,INTRA_Z,*PRO*,首班,,*PRO*,首班,,社会党,首班,,社会党,,,DIRECT,,
51,950101008,10,ある,責任,,,DIRECT,NONE,NONE,社会党,,,責任,,,責任,,,責任,,,DIRECT,,
52,950101008,11,ない,動揺,党,,DIRECT,INTRA_Z,NONE,動揺,,党内,動揺,,党内,動揺,,党内,動揺,,党内,DIRECT,,DIRECT
53,950101008,12,ある,影響,村山,,DIRECT,DIRECT,NONE,影響,,村山政権,影響,,村山政権,影響,,,影響,,政権,DIRECT,,DIRECT
54,950101008,13,うわささ,exog,,離党,INTER_Z,NONE,DIRECT,離党,*T*,,,*T*,,離党,,,離党,,,DIRECT,,
55,950101008,13,ない,違い,,,DIRECT,NONE,NONE,考え方,,人,違い,,人,違い,,,違い,,,DIRECT,,
56,950101008,13,思っ,村山富市首相,,,INTER_Z,NONE,NONE,*pro*,,,*pro*,,,考え方,,,,,,,,
57,950101008,14,離党し,exog,,,INTER_Z,NONE,NONE,*pro*,,,,,,,,,,,,,,
58,950101008,14,理解,村山富市首相,,理由,INTER_Z,NONE,DIRECT,*pro*,理由,,理由,,,理由,,,,,,,,
59,950101008,15,し,村山富市首相,大切,結束,INTER_Z,INTRA_Z,DIRECT,,,,,,,*pro*,結束,,,,,,,
60,950101008,16,やる,村山富市首相,,内閣,INTER_Z,NONE,DIRECT,*pro*,内閣改造,通常国会召集前,*pro*,内閣改造,通常国会召集前,*pro*,,通常国会召集前,,,,,,
61,950101008,16,ない,考え,,,DIRECT,NONE,NONE,*pro*,,,考え,,,考え,内閣改造,,考え,,,DIRECT,,
62,950101008,17,図る,細川内閣,,予算,INTRA_Z,NONE,DIRECT,*PRO*,予算成立,,*pro*,予算成立,,*pro*,予算成立,,閣僚,,,DIRECT,,
63,950101008,17,言っ,閣僚,,,INTRA_Z,NONE,NONE,*PRO*,,,,,,,,,,,,,,
64,950101008,17,反対し,閣僚,改造,,INTRA_Z,DIRECT,NONE,閣僚,,改造,閣僚,,改造,*pro*,,改造,内閣,,改造,INTRA_Z,,DIRECT
65,950101008,17,ある,経緯,,,DIRECT,NONE,NONE,経緯,,,経緯,,,経緯,,,経緯,,,DIRECT,,
66,950101008,18,なっ,閣僚,気,,INTRA_Z,INTRA_Z,NONE,閣僚,,気,閣僚,,気,閣僚,見直し,やる気,閣僚,,やる気,DIRECT,,DIRECT
